age_group,decision_time_scale,t0_mean,t0_sd,score,condition_quantile_mae,condition_mean_mae,overall_quantile_mae,human_condition_gap,model_condition_gap,condition_gap_abs_error,caf_rmse,incongruent_caf_rmse,human_incongruent_error_minus_correct_rt,model_incongruent_error_minus_correct_rt,error_gap_abs_error
70-79,0.37,0.716,0.03,0.44328232389866107,0.10003987546593911,0.0156023114795939,0.0755516506417754,0.0786145418861075,0.1098191648452953,0.0312046229591878,0.037331900650000055,0.05920660559201567,-0.12891993567140259,-0.08505533995767345,0.04386459571372914
70-79,0.37,0.713,0.06,0.36020834316724315,0.07670186878261936,0.01625098583839113,0.0627586067436618,0.0786145418861075,0.11111651356288976,0.03250197167678226,0.029220843357359524,0.02727707984926622,-0.12891993567140259,-0.08303252662193694,0.045887409049465644
70-79,0.37,0.699,0.09,0.2878829461802934,0.050836281923341886,0.01689966019718836,0.04392362234345898,0.0786145418861075,0.11241386228048422,0.03379932039437672,0.029889904811036348,0.018621721073602302,-0.12891993567140259,-0.0810097132862001,0.04791022238520248
70-79,0.37,0.706,0.12,0.24187516936327685,0.03231697449125266,0.017548334555985534,0.026017523719206403,0.0786145418861075,0.11371121099807857,0.03509666911197107,0.0301098256787249,0.024527356741406176,-0.12891993567140259,-0.07898689995046326,0.04993303572093932
70-79,0.37,0.701,0.15,0.22809002548553414,0.022324010000715756,0.018197008914782986,0.023804996724856736,0.0786145418861075,0.11500855971567348,0.03639401782956597,0.030662785418366898,0.02951280039626083,-0.12891993567140259,-0.07696408661472698,0.05195584905667561
70-79,0.37,0.691,0.18,0.2695766350717857,0.03391820130721727,0.018845683273580105,0.034448764932356414,0.0786145418861075,0.11630590843326771,0.03769136654716021,0.03146767264398232,0.033318487951226404,-0.12891993567140259,-0.07494127327899003,0.05397866239241256
70-79,0.37,0.686,0.21,0.35560996554314994,0.06078566294046728,0.021024390944169358,0.05618571876919757,0.0786145418861075,0.11760325715086195,0.03898871526475445,0.03203466293625152,0.03707867743334295,-0.12891993567140259,-0.07291845994325341,0.056001475728149175
70-79,0.37,0.69,0.24,0.4439199611803622,0.08887872407675798,0.020143031991174565,0.08433959950338792,0.0786145418861075,0.11890060586845663,0.04028606398234913,0.03203466293625152,0.04058842378975158,-0.12891993567140259,-0.0708956466075168,0.05802428906388579
80-89,0.37,0.868,0.0,0.715529245525492,0.19914166371464775,0.013078133644537027,0.15635832815743778,0.0865611292410422,0.11271739653011625,0.026156267289074053,0.04010735593379349,0.044846077943899554,-0.21020642647712207,-0.09528421989026115,0.11492220658686092
80-89,0.37,0.869,0.03,0.6693800620350858,0.18368511300343243,0.013454155749133001,0.15390755482766463,0.0865611292410422,0.1134694407393082,0.026908311498266002,0.023173260452512955,0.035204311836686444,-0.21020642647712207,-0.09265649606917414,0.11754993040794792
80-89,0.37,0.872,0.06,0.5907986467265938,0.1597460676655589,0.013830177853729086,0.14183891597285078,0.0865611292410422,0.11422148494850037,0.027660355707458173,0.015549919613940146,0.011556206581362482,-0.21020642647712207,-0.09002877224808736,0.1201776542290347
80-89,0.37,0.846,0.09,0.5229769452011692,0.13408887020378807,0.014206199958325061,0.1223803713291986,0.0865611292410422,0.11497352915769232,0.028412399916650122,0.015511286213593004,0.011632861460156194,-0.21020642647712207,-0.08740104842699992,0.12280537805012215
80-89,0.37,0.85,0.12,0.45648271408697355,0.10752582690324472,0.014582222062921146,0.09975801269383804,0.0865611292410422,0.1157255733668845,0.029164444125842293,0.016043690348545137,0.019732792756059242,-0.21020642647712207,-0.08477332460591336,0.1254331018712087
80-89,0.37,0.845,0.15,0.3857307130625536,0.08128497645039622,0.01495824416751712,0.07526659331303408,0.0865611292410422,0.11647761757607644,0.02991648833503424,0.016822603841260737,0.023624257999893414,-0.21020642647712207,-0.08214560078482624,0.12806082569229582
80-89,0.37,0.846,0.18,0.3242540931970136,0.060809129742920034,0.015334266272113373,0.0506049363077142,0.0865611292410422,0.11722966178526895,0.030668532544226745,0.0172336879396141,0.024981757896835176,-0.21020642647712207,-0.07951787696373946,0.1306885495133826
80-89,0.37,0.846,0.21,0.28835799095170256,0.04552879059692931,0.01571028837670929,0.04084803999100867,0.0865611292410422,0.11798170599446078,0.03142057675341858,0.017770762504743586,0.026634919894120368,-0.21020642647712207,-0.07689015314265224,0.13331627333446983
80-89,0.37,0.845,0.24,0.28292388975528926,0.042931954171011796,0.016086310481305377,0.03558725714598254,0.0865611292410422,0.11873375020365295,0.032172620962610754,0.017770762504743586,0.029444641117586563,-0.21020642647712207,-0.07426242932156535,0.13594399715555672
20-29,0.38,0.557,0.0,0.46569546841018994,0.08678750479942587,0.020200816357802298,0.05606665895290019,0.04374684900583592,0.08414848172144052,0.040401632715604596,0.06957154590779194,0.10494799780770668,-0.06449539092603063,-0.0590868693182377,0.005408521607792927
20-29,0.38,0.549,0.03,0.36801301062803626,0.06956431822342932,0.020133933051843078,0.051600414761505294,0.04374684900583592,0.08401471510952208,0.040267866103686156,0.0253495562091331,0.05618973444217101,-0.06449539092603063,-0.05784226223635425,0.00665312868967638
20-29,0.38,0.548,0.06,0.2728129988153609,0.046754308278352294,0.020067049745883803,0.035696794771122746,0.04374684900583592,0.08388094849760352,0.040134099491767605,0.01651060265405231,0.017300738323086356,-0.06449539092603063,-0.056597655154471016,0.00789773577155961
