null_model,simulation,transition,population_mean_risk_difference
participant_current_condition_only,122,C_to_C,0.0012517524055934218
participant_current_condition_only,122,I_to_C,0.0008978248545880509
participant_current_condition_only,122,C_to_I,0.0021880137176922996
participant_current_condition_only,122,I_to_I,0.0027701639708681905
participant_current_condition_only,123,C_to_C,0.0012126614544089901
participant_current_condition_only,123,I_to_C,0.0012694636529654254
participant_current_condition_only,123,C_to_I,0.005261174290919962
participant_current_condition_only,123,I_to_I,0.0023912819661091895
participant_current_condition_only,124,C_to_C,-6.1685777735139e-05
participant_current_condition_only,124,I_to_C,0.0011348268866618197
participant_current_condition_only,124,C_to_I,0.004716480560433101
