analysis_group,replicate,time,target_state,flanker_state,noise_ampa
young_20_29,5,0.65,0.4215077,0.04684049,0.003
young_20_29,5,0.66,0.43572718,0.045529433,0.003
young_20_29,5,0.67,0.4487821,0.04458896,0.003
young_20_29,5,0.68,0.46387246,0.04349044,0.003
young_20_29,5,0.6900000000000001,0.47994143,0.04252562,0.003
young_20_29,5,0.7000000000000001,0.49606118,0.041464515,0.003
young_20_29,5,0.71,0.5098338,0.040630475,0.003
young_20_29,5,0.72,0.5234442,0.039505977,0.003
young_20_29,5,0.73,0.5360468,0.03861713,0.003
young_20_29,5,0.74,0.54843485,0.037512686,0.003
young_20_29,5,0.75,0.5592548,0.036797266,0.003
young_20_29,5,0.76,0.57210094,0.035768606,0.003
young_20_29,5,0.77,0.5836297,0.035078175,0.003
young_20_29,5,0.78,0.5816197,0.034661394,0.003
young_20_29,5,0.79,0.5800079,0.033903766,0.003
young_20_29,6,0.0,0.100622036,0.10203628,0.003
young_20_29,6,0.01,0.10066318,0.103700854,0.003
young_20_29,6,0.02,0.10194044,0.104708016,0.003
young_20_29,6,0.03,0.10272767,0.105554275,0.003
young_20_29,6,0.04,0.10298187,0.10683549,0.003
young_20_29,6,0.05,0.10375415,0.106059976,0.003
